Flow Duration,Fwd IAT Total,Bwd IAT Total,Fwd IAT Min,Bwd IAT Min,Fwd IAT Max,Bwd IAT Max,Fwd IAT Mean,Bwd IAT Mean,Flow Packets/s,Flow Bytes/s,Flow IAT Min,Flow IAT Max,Flow IAT Mean,Flow IAT Std,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std
4489873,4489873.0,0.0,4489873.0,0.0,4489873.0,0.0,4489873.0,0.0,0.4454468979412112,0.0,4489873.0,4489873.0,4489873.0,0.0,0.0,0.0,0.0,0.0,1427910075636846.0,1427910075636846.0,1427910075636846.0,0.0
45077483,45055987.0,45056116.0,45055987.0,45056116.0,45055987.0,45056116.0,45055987.0,45056116.0,0.08873609912958094,0.0,21367.0,45034620.0,15025827.666666668,25988376.497638404,21367.0,21367.0,21367.0,0.0,45034620.0,713955358085754.0,1427910671136888.0,1009685286645242.4
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9259.25925925926,1106481.4814814816,216.0,216.0,216.0,0.0,0.0,0.0,0.0,0.0,1427905770123544.0,1427905770123544.0,1427905770123544.0,0.0
87039706,87039650.0,87039671.0,87039650.0,87039671.0,87039650.0,87039671.0,87039650.0,87039671.0,0.04595603758128503,0.0,35.0,87039615.0,29013235.333333336,50252318.88097523,35.0,35.0,35.0,0.0,87039615.0,713957303790204.5,1427914520540794.0,1009687978882831.2
117084492,117084492.0,117063115.0,22.0,5.0,58783680.0,58767440.0,2722895.162790697,2660525.340909091,0.7601348263952838,1137.5631198024073,1.0,58741935.0,1330505.5909090908,8761069.523549087,64978.0,77945.5,90913.0,18338.81437007311,58163243.0,475906478761905.6,1427719319380539.0,824294099623965.5
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1427904626133404.0,1427904626133404.0,1427904626133404.0,0.0
95689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.901044007148162,1828.841350625464,95689.0,95689.0,95689.0,0.0,0.0,0.0,0.0,0.0,1427721756685042.0,1427721756685042.0,1427721756685042.0,0.0
39506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.625221485344,0.0,39506.0,39506.0,39506.0,0.0,0.0,0.0,0.0,0.0,1427910519855916.0,1427910519855916.0,1427910519855916.0,0.0
90134891,90108057.0,90109747.0,45052026.0,45051868.0,45056031.0,45057879.0,45054028.5,45054873.5,0.06656689694116344,0.0,24986.0,45031045.0,18026978.2,24649327.46497387,24986.0,25065.0,25144.0,111.72287142747452,45026882.0,475968213455578.6,1427904550308809.0,824401050500398.2
25514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.38833581563064,0.0,25514.0,25514.0,25514.0,0.0,0.0,0.0,0.0,0.0,1427906264775514.0,1427906264775514.0,1427906264775514.0,0.0
